single-nested-if,double-nested-if,explicit-return-in-init,none-comparison,no-exception-type,boolean-comparison,missing-annotations,key-function,multi-value-key-literal,assert-tuple,loop-variable-iterates-overrides-iterator,function-uses-loop-variable,nested-depth,number-of-conditions-in-function,nested-conditions,nested-condition-loops,nested-loop-conditions,nested-loop-conditions-ff,number-of-assertions,count-test-method-lines,count-method-lines,test-methods-invoking-method,not-using-context-manager,multiple-returns-in-function,complex-expressions,unused-variables,method-too-long,high-cyclomatic-complexity,long-method-chaining,deeply-nested-control-structures,god-function,empty-catch-block,magic-numbers,use-of-global-variables,large-class,long-parameter-list,mutation_category,filename
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,above average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,below average,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above average,diagrams_output.json
